experiment_name,experiment_id,descriptor_type,pooling_strategy,mean_average_precision,true_map_macro,true_map_micro,true_map_macro_with_zeros,true_map_micro_with_zeros,precision_at_1,precision_at_5,recall_at_1,recall_at_5,processing_time_s
descriptor_processing_sift_keynet_pairs,305,sift_plain_l2_root_none,none,0.5346176240766178,0.5346176240766178,0.5601671702653279,0.1920655698244165,0.19369993236548375,0.5284222007802996,0.5912656794059655,0.5284222007802996,0.5912656794059655,24.721
descriptor_processing_sift_keynet_pairs,346,sift_rgb_stack_l1_root_after,stacking,0.5559904187994601,0.5559904187994601,0.5804953037472131,0.19863120356753694,0.20072918771918938,0.5514536225196124,0.6088853463103578,0.5514536225196124,0.6088853463103578,68.711
descriptor_processing_sift_keynet_pairs,345,sift_rgb_stack_l1_root_before,stacking,0.5558579222347168,0.5558579222347168,0.5803907229205936,0.19859336298111918,0.2006930247662028,0.5513277677560096,0.6087175399588874,0.5513277677560096,0.6087175399588874,67.614
descriptor_processing_sift_keynet_pairs,344,sift_rgb_stack_l1_root_none,stacking,0.5346881989573186,0.5346881989573186,0.5602030171872671,0.19208650459179832,0.19371232785512274,0.5284641523681671,0.5914334857574359,0.5284641523681671,0.5914334857574359,67.701
descriptor_processing_sift_keynet_pairs,349,sift_rgb_stack_l2_root_after,stacking,0.5559904187994601,0.5559904187994601,0.5804953037472131,0.19863120356753694,0.20072918771918938,0.5514536225196124,0.6088853463103578,0.5514536225196124,0.6088853463103578,68.192
descriptor_processing_sift_keynet_pairs,348,sift_rgb_stack_l2_root_before,stacking,0.5558579222347168,0.5558579222347168,0.5803907229205936,0.19859336298111918,0.2006930247662028,0.5513277677560096,0.6087175399588874,0.5513277677560096,0.6087175399588874,68.215
descriptor_processing_sift_keynet_pairs,347,sift_rgb_stack_l2_root_none,stacking,0.5346881989573186,0.5346881989573186,0.5602030171872671,0.19208650459179832,0.19371232785512274,0.5284641523681671,0.5914334857574359,0.5284641523681671,0.5914334857574359,68.212
descriptor_processing_sift_keynet_pairs,385,vgg_color_dsp_l1_root_after,domain_size_pooling,0.5294224635251529,0.5294224635251529,0.5580530518870761,0.19108328944066214,0.1929688924034559,0.5232621554725846,0.5929437429206695,0.5232621554725846,0.5929437429206695,61.527
descriptor_processing_sift_keynet_pairs,383,vgg_color_dsp_l1_root_before,domain_size_pooling,0.5366324457533364,0.5366324457533364,0.5644652625874412,0.19324947089643132,0.1951861676114722,0.53068758652515,0.5988589168100013,0.53068758652515,0.5988589168100013,62.088
descriptor_processing_sift_keynet_pairs,381,vgg_color_dsp_l1_root_none,domain_size_pooling,0.54346369431809,0.54346369431809,0.570884683249654,0.19551285503816027,0.1974059359486763,0.5380291144019801,0.6043965264085246,0.5380291144019801,0.6043965264085246,61.198
