experiment_name,descriptor_type,true_map_macro,true_map_micro,precision_at_1,processing_time_s
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.0,0.0,0.0,0.258
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsphonc_v2_rootsift_max,0.0,0.0,0.0,0.263
dsp_color_descriptors_v2,dsphowh_v2_max,0.0,0.0,0.0,0.26
dsp_color_descriptors_v2,dsphowh_v2_max,0.0,0.0,0.0,0.258
dsp_color_descriptors_v2,dsphowh_v2_max,0.0,0.0,0.0,0.26
dsp_color_descriptors_v2,dsphowh_v2_max,0.0,0.0,0.0,0.263
dsp_color_descriptors_v2,dsphowh_v2_max,0.0,0.0,0.0,0.266
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.0,0.0,0.0,0.259
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.0,0.0,0.0,0.257
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsphowh_v2_rootsift_max,0.0,0.0,0.0,0.265
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.0,0.0,0.0,0.26
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.0,0.0,0.0,0.258
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsprgbsift_v2_max,0.0,0.0,0.0,0.266
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.0,0.0,0.0,0.261
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.0,0.0,0.0,0.259
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.0,0.0,0.0,0.265
dsp_color_descriptors_v2,dsprgbsift_v2_rootsift_max,0.0,0.0,0.0,0.266
dsp_pyramid_comparison,dspsift_baseline_grayscale_none_l2,0.5724626373354458,0.5956735670536689,0.567143516382095,52.136
dsp_pyramid_comparison,sift_pyramid_dsp_grayscale_l2,0.5392392390857476,0.5642261231968801,0.5326593111549273,56.681
dspsift_systematic_analysis,dspsift_baseline_color_none_l2,0.5724626373354458,0.5956735670536689,0.567143516382095,56.476
dspsift_systematic_analysis,dspsift_baseline_color_none_l2,0.5724626373354458,0.5956735670536689,0.567143516382095,56.461
dspsift_systematic_analysis,dspsift_baseline_grayscale_none_l1,0.5724626373354458,0.5956735670536689,0.567143516382095,50.321
dspsift_systematic_analysis,dspsift_baseline_grayscale_none_l1,0.5724626373354458,0.5956735670536689,0.567143516382095,50.008
dspsift_systematic_analysis,dspsift_baseline_grayscale_none_l2,0.5724626373354458,0.5956735670536689,0.567143516382095,50.362
dspsift_systematic_analysis,dspsift_baseline_grayscale_none_l2,0.5724626373354458,0.5956735670536689,0.567143516382095,50.15
dspsift_systematic_analysis,dspsift_color_none_l1,0.5724626373354458,0.5956735670536689,0.567143516382095,56.632
dspsift_systematic_analysis,dspsift_color_none_l1,0.5724626373354458,0.5956735670536689,0.567143516382095,56.314
dspsift_systematic_analysis,dspsift_baseline_color_dsp_l2,0.5715257812757916,0.5950333969715389,0.566514242564081,125.036
dspsift_systematic_analysis,dspsift_color_dsp_l1,0.5715257812757916,0.5950333969715389,0.566514242564081,125.001
dspsift_systematic_analysis,dspsift_baseline_grayscale_dsp_l1,0.571449266896752,0.5949733976609543,0.5664303393883459,118.16
dspsift_systematic_analysis,dspsift_baseline_grayscale_dsp_l2,0.571449266896752,0.5949733976609543,0.5664303393883459,118.709
dspsift_systematic_analysis,dspsift_color_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,66.485
dspsift_systematic_analysis,dspsift_color_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,65.227
dspsift_systematic_analysis,dspsift_color_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,64.706
dspsift_systematic_analysis,dspsift_grayscale_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,59.986
dspsift_systematic_analysis,dspsift_grayscale_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,58.718
dspsift_systematic_analysis,dspsift_grayscale_stacking_l2,0.5615566110178255,0.5866043317084211,0.5580400218148257,58.731
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_color_stacking_l2,0.4912222371889889,0.4970615976340838,0.39773719196938156,88.029
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_grayscale_stacking_l2,0.4790259625550172,0.48650148799715565,0.3885046666219029,49.543
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_baseline_color_none_l2,0.47100798546642336,0.47562552204517794,0.3675216544685423,69.75
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_color_none_l1,0.47100798546642336,0.47562552204517794,0.3675216544685423,69.523
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_baseline_grayscale_none_l1,0.4566152321348,0.46490043572106254,0.36057208084334924,43.635
dspsift_systematic_analysis_keynet_sift_pairs,dspsift_baseline_grayscale_none_l2,0.4566152321348,0.46490043572106254,0.36057208084334924,43.758
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_baseline_color_none_l2,0.5844896095390354,0.6031547769938703,0.5745689474346604,65.307
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_color_none_l1,0.5844896095390354,0.6031547769938703,0.5745689474346604,65.059
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_baseline_grayscale_none_l1,0.5775782665287467,0.5990994713695514,0.5698284180056216,41.381
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_baseline_grayscale_none_l2,0.5775782665287467,0.5990994713695514,0.5698284180056216,41.505
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_color_stacking_l2,0.47577965180244647,0.5068133676056976,0.4762763770608718,84.322
dspsift_systematic_analysis_sift_keynet_pairs,dspsift_grayscale_stacking_l2,0.4714629709248595,0.5034222710518975,0.47140999286823004,47.801
honc_systematic_analysis,honc_color_stacking_l1,0.5443738991447739,0.5678127593501838,0.5373578889960985,79.072
honc_systematic_analysis,honc_color_stacking_l1,0.5443738991447739,0.5678127593501838,0.5373578889960985,77.185
honc_systematic_analysis,honc_color_stacking_l1,0.5443738991447739,0.5678127593501838,0.5373578889960985,75.814
honc_systematic_analysis,honc_color_stacking_l2,0.5443738991447739,0.5678127593501838,0.5373578889960985,78.732
honc_systematic_analysis,honc_color_stacking_l2,0.5443738991447739,0.5678127593501838,0.5373578889960985,78.45
honc_systematic_analysis,honc_color_stacking_l2,0.5443738991447739,0.5678127593501838,0.5373578889960985,76.015
honc_systematic_analysis,honc_color_dsp_l1,0.48477337465428577,0.5064145756773378,0.46864118806896843,248.327
honc_systematic_analysis,honc_color_dsp_l2,0.48477337465428577,0.5064145756773378,0.46864118806896843,249.91
honc_systematic_analysis,honc_color_dsp_l1,0.4783897700421445,0.5001654576311043,0.4616772244829467,135.456
honc_systematic_analysis,honc_color_dsp_l2,0.4783897700421445,0.5001654576311043,0.4616772244829467,132.712
honc_systematic_analysis,honc_baseline_color_none_l1,0.47557106592650217,0.49722527299878944,0.4577337752233922,68.863
honc_systematic_analysis,honc_baseline_color_none_l1,0.47557106592650217,0.49722527299878944,0.4577337752233922,67.247
honc_systematic_analysis,honc_baseline_color_none_l1,0.47557106592650217,0.49722527299878944,0.4577337752233922,67.09
honc_systematic_analysis,honc_baseline_color_none_l2,0.47557106592650217,0.49722527299878944,0.4577337752233922,67.908
honc_systematic_analysis,honc_baseline_color_none_l2,0.47557106592650217,0.49722527299878944,0.4577337752233922,67.295
honc_systematic_analysis,honc_baseline_color_none_l2,0.47557106592650217,0.49722527299878944,0.4577337752233922,67.808
honc_systematic_analysis,honc_color_dsp_l1,0.4713821675883841,0.49357920449554776,0.4531191005579561,123.968
honc_systematic_analysis,honc_color_dsp_l2,0.4713821675883841,0.49357920449554776,0.4531191005579561,124.266
honc_systematic_analysis_keynet_sift_pairs,honc_baseline_color_none_l1,0.41211788657075993,0.40641366391547756,0.3122943664808971,469.13
honc_systematic_analysis_keynet_sift_pairs,honc_baseline_color_none_l2,0.41211788657075993,0.40641366391547756,0.3122943664808971,472.817
honc_systematic_analysis_keynet_sift_pairs,honc_color_stacking_l1,0.3907813080663803,0.3950497017326534,0.2944000537165111,62.195
honc_systematic_analysis_keynet_sift_pairs,honc_color_stacking_l2,0.3907813080663803,0.3950497017326534,0.2944000537165111,66.88
honc_systematic_analysis_keynet_sift_pairs,honc_color_dsp_l1,0.37601080308759266,0.380211545940061,0.27895655677163766,56.129
honc_systematic_analysis_keynet_sift_pairs,honc_color_dsp_l2,0.37601080308759266,0.380211545940061,0.27895655677163766,59.624
honc_systematic_analysis_sift_keynet_pairs,honc_baseline_color_none_l1,0.4755710658007561,0.49722527274861594,0.4577337752233922,70.183
honc_systematic_analysis_sift_keynet_pairs,honc_baseline_color_none_l2,0.4755710658007561,0.49722527274861594,0.4577337752233922,72.619
honc_systematic_analysis_sift_keynet_pairs,honc_color_dsp_l1,0.46913426697813554,0.49852516149483617,0.46512047106891785,48.852
honc_systematic_analysis_sift_keynet_pairs,honc_color_dsp_l2,0.46913426697813554,0.49852516149483617,0.46512047106891785,49.288
honc_systematic_analysis_sift_keynet_pairs,honc_color_stacking_l1,0.23503849913018607,0.28185700723832285,0.2649662289717666,61.239
honc_systematic_analysis_sift_keynet_pairs,honc_color_stacking_l2,0.23503849913018607,0.28185700723832285,0.2649662289717666,60.681
libtorch_hardnet_baseline,libtorch_hardnet,0.8291770574280103,0.8362468077302484,0.7939300342442759,35.804
libtorch_hardnet_baseline,libtorch_hardnet,0.8291770574280103,0.8362468077302484,0.7939300342442759,36.801
libtorch_hardnet_baseline,libtorch_hardnet,0.8291770574280103,0.8362468077302484,0.7939300342442759,35.83
libtorch_hardnet_baseline_keynet_sift_pairs,libtorch_hardnet,0.8291770574280103,0.8362468077302484,0.7939300342442759,35.819
libtorch_hardnet_baseline_sift_keynet_pairs,libtorch_hardnet,0.24079812183527208,0.26692628641204424,0.21571506481520325,40.748
libtorch_hardnet_baseline_sift_keynet_pairs,libtorch_hardnet,0.24079812183527208,0.26692628641204424,0.21571506481520325,37.008
libtorch_hardnet_keynet,libtorch_hardnet,0.6815467859620146,0.7074943638426898,0.5923711606020563,38.401
libtorch_hardnet_keynet,sift_baseline,0.3842307297731358,0.4078653398332272,0.3378347890546943,122.905
libtorch_hardnet_keynet,orb_baseline,0.005941738650797547,0.00577274778633469,0.0011925097495729526,34.415
libtorch_sosnet_baseline,libtorch_sosnet,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.248
libtorch_sosnet_baseline,libtorch_sosnet,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.465
libtorch_sosnet_baseline,libtorch_sosnet,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.149
libtorch_sosnet_baseline_keynet_sift_pairs,libtorch_sosnet,0.8269667321615165,0.8329974092147968,0.7907070435775196,36.099
libtorch_sosnet_baseline_sift_keynet_pairs,libtorch_sosnet,0.23907686762556654,0.264516958914098,0.2127365020766036,37.416
orb_baseline,orb_baseline,0.051931532089545034,0.05146585853098116,0.01744360902255639,0.948
rootsift_pooling_order,dspsift_v2_root_before_max,0.5993380752919298,0.6175518037241229,0.5905105508243487,45.458
rootsift_pooling_order,dspsift_v2_root_after_avg,0.5988169608899829,0.6174458555003408,0.5902168897092755,45.209
